Date,Country Advertisers Mobile OS,Budget, Installs 
18/02/2016,EU GoogleSearch iOS,83.62, 194 
18/02/2016,US Facebook Android,"1,440.53", 751 
18/02/2016,US Facebook iOS,"1,057.83", 358 
18/02/2016,US GoogleSearch Android,"1,261.37", 882 
18/02/2016,US GoogleSearch iOS,493.12, 223 
19/02/2016,EU Facebook Android,318.42, 860 
19/02/2016,EU Facebook iOS,49.56, 99 
19/02/2016,EU GoogleSearch Android,472.14," 1,666 "
19/02/2016,EU GoogleSearch iOS,79.26, 196 
19/02/2016,US Facebook Android,"1,428.65", 754 
19/02/2016,US Facebook iOS,"1,054.49", 358 
19/02/2016,US GoogleSearch Android,"1,273.61", 943 
19/02/2016,US GoogleSearch iOS,532.35, 223 
20/02/2016,EU Facebook Android,318.42, 902 
20/02/2016,EU Facebook iOS,49.53, 86 
20/02/2016,EU GoogleSearch Android,469.07," 1,581 "
20/02/2016,EU GoogleSearch iOS,75.44, 190 
20/02/2016,US Facebook Android,"1,432.37", 682 
20/02/2016,US Facebook iOS,"1,044.31", 318 
20/02/2016,US GoogleSearch Android,"1,252.54", 912 
20/02/2016,US GoogleSearch iOS,554.83, 236 
21/02/2016,EU Facebook Android,318.42," 1,095 "
21/02/2016,EU Facebook iOS,49.62, 78 
21/02/2016,EU GoogleSearch Android,455.97," 1,511 "
21/02/2016,EU GoogleSearch iOS,51.26, 126 
21/02/2016,US Facebook Android,"1,245.82", 757 
21/02/2016,US Facebook iOS,830.42, 281 
21/02/2016,US GoogleSearch Android,"1,131.15", 822 
21/02/2016,US GoogleSearch iOS,348.09, 180 
22/02/2016,EU Facebook Android,318.42," 1,250 "
22/02/2016,EU Facebook iOS,49.62, 122 
22/02/2016,EU GoogleSearch Android,507.25," 1,817 "
22/02/2016,EU GoogleSearch iOS,81.49, 177 
22/02/2016,US Facebook Android,"1,503.64", 998 
22/02/2016,US Facebook iOS,859.46, 348 
22/02/2016,US GoogleSearch Android,"1,227.69", 885 
22/02/2016,US GoogleSearch iOS,581.74, 260 
23/02/2016,EU Facebook Android,244.54, 784 
23/02/2016,EU Facebook iOS,42.01, 68 
23/02/2016,EU GoogleSearch Android,505.02," 1,692 "
23/02/2016,EU GoogleSearch iOS,84.25, 207 
23/02/2016,US Facebook Android,"1,617.94", 911 
23/02/2016,US Facebook iOS,"1,023.14", 332 
23/02/2016,US GoogleSearch Android,"1,317.32", 935 
23/02/2016,US GoogleSearch iOS,560.65, 249 
24/02/2016,EU Facebook Android,168.20, 579 
24/02/2016,EU Facebook iOS,42.05, 81 
24/02/2016,EU GoogleSearch Android,495.92," 1,686 "
24/02/2016,EU GoogleSearch iOS,82.02, 235 
24/02/2016,US Facebook Android,"1,355.54", 824 
24/02/2016,US Facebook iOS,678.60, 257 
24/02/2016,US GoogleSearch Android,"1,327.29", 922 
24/02/2016,US GoogleSearch iOS,538.41, 235 
25/02/2016,EU Facebook Android,168.20, 609 
25/02/2016,EU Facebook iOS,41.92, 74 
25/02/2016,EU GoogleSearch Android,494.44," 1,502 "
25/02/2016,EU GoogleSearch iOS,77.83, 190 
25/02/2016,US Facebook Android,"1,263.14", 782 
25/02/2016,US Facebook iOS,599.34, 268 
25/02/2016,US GoogleSearch Android,"1,205.57", 912 
25/02/2016,US GoogleSearch iOS,388.52, 151 
26/02/2016,EU Facebook Android,168.20, 616 
26/02/2016,EU Facebook iOS,42.05, 62 
26/02/2016,EU GoogleSearch Android,474.01," 1,424 "
26/02/2016,EU GoogleSearch iOS,75.21, 171 
26/02/2016,US Facebook Android,"1,261.58", 738 
26/02/2016,US Facebook iOS,605.48, 291 
26/02/2016,US GoogleSearch Android,"1,063.51", 842 
26/02/2016,US GoogleSearch iOS,380.01, 152 
27/02/2016,EU Facebook Android,168.20, 538 
27/02/2016,EU Facebook iOS,42.05, 64 
27/02/2016,EU GoogleSearch Android,459.12," 1,389 "
27/02/2016,EU GoogleSearch iOS,74.89, 161 
27/02/2016,US Facebook Android,"1,261.63", 738 
27/02/2016,US Facebook iOS,605.52, 274 
27/02/2016,US GoogleSearch Android,"1,085.16", 880 
27/02/2016,US GoogleSearch iOS,379.10, 161 
28/02/2016,EU Facebook Android,168.20, 716 
28/02/2016,EU Facebook iOS,42.05, 91 
28/02/2016,EU GoogleSearch Android,420.90," 1,322 "
28/02/2016,EU GoogleSearch iOS,55.63, 144 
28/02/2016,US Facebook Android,"1,562.54", 957 
28/02/2016,US Facebook iOS,906.51, 331 
28/02/2016,US GoogleSearch Android,"1,007.50", 712 
28/02/2016,US GoogleSearch iOS,318.89, 133 
29/02/2016,EU Facebook Android,168.20, 673 
29/02/2016,EU Facebook iOS,42.05, 91 
29/02/2016,EU GoogleSearch Android,497.79," 1,786 "
29/02/2016,EU GoogleSearch iOS,76.64, 212 
29/02/2016,US Facebook Android,"1,281.31", 709 
29/02/2016,US Facebook iOS,664.73, 294 
29/02/2016,US GoogleSearch Android,"1,096.96", 828 
29/02/2016,US GoogleSearch iOS,395.04, 170 
01/03/2016,EU Facebook Android,168.20, 758 
01/03/2016,EU Facebook iOS,42.05, 99 
01/03/2016,EU GoogleSearch Android,478.11," 1,741 "
01/03/2016,EU GoogleSearch iOS,84.75, 210 
01/03/2016,US Facebook Android,"1,154.25", 673 
01/03/2016,US Facebook iOS,662.27, 291 
01/03/2016,US GoogleSearch Android,"1,138.10", 847 
01/03/2016,US GoogleSearch iOS,429.98, 193 
02/03/2016,EU Facebook Android,168.20, 647 
02/03/2016,EU Facebook iOS,42.01, 81 
02/03/2016,EU GoogleSearch Android,441.90," 1,781 "
02/03/2016,EU GoogleSearch iOS,76.95, 178 
02/03/2016,US Facebook Android,"1,154.27", 679 
02/03/2016,US Facebook iOS,662.27, 271 
02/03/2016,US GoogleSearch Android,920.68, 711 
02/03/2016,US GoogleSearch iOS,464.97, 191 
03/03/2016,EU Facebook Android,168.20, 560 
03/03/2016,EU Facebook iOS,41.99, 78 
03/03/2016,EU GoogleSearch Android,466.52," 1,698 "
03/03/2016,EU GoogleSearch iOS,80.80, 168 
03/03/2016,US Facebook Android,"1,305.65", 676 
03/03/2016,US Facebook iOS,824.18, 302 
03/03/2016,US GoogleSearch Android,805.59, 590 
03/03/2016,US GoogleSearch iOS,459.56, 180 
04/03/2016,EU Facebook Android,168.20, 606 
